min_samples_split,max_depth,accuracy_score
6.0,1.0,0.7773333333333333
6.0,2.0,0.7823333333333333
6.0,3.0,0.7839166666666667
6.0,4.0,0.7849166666666667
6.0,5.0,0.7885833333333333
6.0,6.0,0.7885
6.0,7.0,0.7935
6.0,8.0,0.7955
